Назва,Стан,Категорія,Місцезнаходження,Переможець,"Номер лота","Стартова ціна","Ціна продажу"
"Мастило Luxe 4 л","Торги відбулися",Запчастини/аксесуари,"Кіровоградська обл.","Учасник №4",401000,160.00,211.00
"Тосол Bamn А30, 10 л, в кількості 2 шт.","Торги відбулися",Запчастини/аксесуари,"Кіровоградська обл.","Учасник №5",401002,240.00,301.00
"Мастило Luxe 80W90, 1 л","Торги не відбулися",Запчастини/аксесуари,"Кіровоградська обл.",,401004,35.00,0.00
"Мастило Luxe 15W40, 5 л, в кількості 2 шт.","Торги відбулися",Запчастини/аксесуари,"Кіровоградська обл.","Учасник №4",401013,325.00,361.55
"Мастило Luxe 15W40, 4 л, в кількості 2 шт.","Торги відбулися",Запчастини/аксесуари,"Кіровоградська обл.","Учасник №3",401014,280.00,311.55
"Тосол Bamn А30, 10 л","Торги відбулися",Запчастини/аксесуари,"Кіровоградська обл.","Учасник №6",401016,112.50,219.00
"Антифріз Luxe 20, 1 л, в кількості 4 шт.","Торги відбулися",Запчастини/аксесуари,"Кіровоградська обл.","Учасник №4",401017,120.00,171.00
"Комбайн зернозбиральний марка СК-5, 1987 року випуску, ДНЗ: 12910ВК, заводський номер: 958067","Торги не відбулися",Сільгосптехніка,"Рівненська обл.",,401025,12620.50,0.00
"Побутовий вагончик, інв. № 29787","Торги відбулися",Інше,"Сумська обл.","Учасник №8",401061,2362.50,3661.93
"Побутовий вагончик,  інв. № 297851","Торги відбулися",Інше,"Сумська обл.","Учасник №3",401062,2362.50,2362.50
"Побутовий вагончик,  інв. № 29844","Торги відбулися",Інше,"Сумська обл.","Учасник №5",401063,2362.50,3661.93
"Бочка металева, у кількості 3-х штук","Торги відбулися",Інше,"Сумська обл.","Учасник №7",401064,1539.00,2694.00
Свічка,"Очікування сплати",Декор,"Івано-Франківська обл.","Учасник №1",401119,3.75,10.02
"Мариновані помідори в банці 3 л","Торги не відбулися","Продовольчі товари","Івано-Франківська обл.",,401152,15.00,0.00
"Обладнання та складові частини до нього в кількості 5-ти позицій, що не придатне до використання та в подальшому підлягає переробці на металобрухт; відходи виробництва та зношені частини обладнання вагою 6,5 т.","Торги відбулися",Брухт,"Сумська обл.","Учасник №5",401313,278058.00,278058.00
"Ноутбук Jumper Еzbook 3 Pro, в  комплекті з зарядним пристроєм, в кількості 1 шт.","Складання акту",Ноутбуки,м.Київ,"Учасник №47",401473,3734.50,5301.00
"Напівпричіп бортовий -Е, марки KOEGEL, модель SN 24, 2000 року випуску, ДНЗ АО4905ХХ, шасі № WK0SN0024Y0760107, сірого кольору","Торги не відбулися",Причепи,"Закарпатська обл.",,401583,40115.00,0.00
"Антифріз Motorlux 40, 1 л ","Очікування сплати",Запчастини/аксесуари,"Кіровоградська обл.","Учасник №2",401619,20.00,25.33
"Антифріз Motorlux 40, 5 л","Торги не відбулися",Запчастини/аксесуари,"Кіровоградська обл.",,401643,70.00,0.00
